Wallet;Balance;Type
0x9C2C2c9f1F029E2685895b11322FFD45E1A1fbdb;"100413,7837";wallet
0x9A2297139fDc304E687323402947F7898AD25F59;"100203,321";wallet
0xe8b2A56078835465226708125C4D6456e3C9b2d4;"100121,1368";wallet
0x1059EBD217b1B0674403FCF59C5C0054e019c48A;"100048,4361";wallet
0x56DB61E267C8a033071135Aed1Acf47c4a0eF09c;100000;wallet
0x9D78Ee91cb4823761B24DeE201d69FD3b182206D;100000;wallet
0xff74902Efe2175dA40358ECc76B6f96E24D10DA7;100000;wallet
0x6826727E5A46cD6B6CDaCb71345e0569c73F5937;"99194,76459";wallet
0xEFb3290A1c5d68D7DD01908c659B785044a1E1ae;"98964,62025";wallet
0xDaEb0c5D74D778d61DdCe6ECE1C97069653384Ce;"98684,61957";wallet
0xE18B5254b8ac86b61ED30A5C1357BeF0308A9dc7;"98608,83457";wallet
0x8996588dDA5248f131d81f681697B6d1eF267666;"98069,40537";wallet
0x9A5F206ECcBaFaefA446CA10F34BCF78f4Ce3eEE;"97912,17541";wallet
0x7ff52b0fE59fA52A290f8E50107F3FB83DA4A810;"97774,36241";wallet
0x1F45a7B89CF12f424e56516Af47F8039F9E2Fc34;"97637,27158";wallet
0xA66c503b43399d2d8C3Bf3d957e2713Fece3E286;"96143,56957";wallet
0x1f892FE04EA2e6a6E852dBB4aeA6a7Acfe1546F0;"95486,65283";wallet
0xeBADF1Fbd602aeFb3d49A605587c80Ec044790CE;"95162,50547";wallet
0x6E40085AFBEFc911Ac7E3C2B6dE042e79c8Ff0CC;"95008,11145";wallet
0x6F5EEa1E20e69C5DB953db53267d0Ab99B98BB03;"93578,45365";wallet
0x6C6b78755A5C856e134b321c7F6377577Ed2295B;"92514,42215";wallet
0xd719520c69A31094164986FC97aaFbEC3E016271;"92325,84868";wallet
0x1d44Bef72894751739F92466baF8baBB11e01109;"91210,99018";wallet
0x842902Ce20f3d5347293602eCb84a6dCDCE278C9;"90204,98404";wallet
0x09242cf44047b58ff0Fbfe8428Ab39f2faAdfF7E;90000;wallet
0xce65Dee1a0790F01b2C43c14A51a4174fAFEe6b6;"89980,3743";wallet
0x4d6DE6730E7d9693E1422052f6eC53391E31E3CE;"89065,19484";wallet
0x2d3ffd0156fB6657Ed697a48bdCeB3c012C16578;"88892,20037";wallet
0xc48f7D9c8A839e2A0114524B4Cce461ed356c5e9;"88629,10427";wallet
0x66d99AcC49F97311a8a52b53999698A861f5186A;"88346,27833";wallet
0x4F7d8175aC55084F3e79eE178904251A121a1f22;"88192,84375";wallet
0xFEcc9b9bF1f21140C9C921606Cf542a957D1712f;"88000,42465";wallet
0x63Dd665B306dC33C41098d8Bc59fc7bE2Bc9542B;85068;wallet
